Material,Material Description,Material Group,Division,EAN/UPC,Weight unit,Gross Weight,Net Weight,Material type descr.,Material Group Desc.,Material grp desc. 2,Name,PH Level 01,PH Level 01 - Desc.,PH Level 02,PH Level 02 - Desc.,PH Level 03,PH Level 03 - Desc.,PH Level 04,PH Level 04 - Desc.,PH Level 05,PH Level 05 - Desc.
1200/I40,NORMAL BONE CEMENT (SIMPLEX) 40GM,BN-CEMENT,BC,,KG,0.000,0.000,Trading Material(Num-Alp),Bone Cement,Bone Cement,Bone Cement,KN,Knee,006,Instruments,0001,Primary,0001,Instruments & Spares,001,Bone Cement
4T-PT11003049,1.5mm LPS T Plate Mini 3 Hole L49,TI-PT069,TI,,KG,0.000,0.000,FG Material-Trauma,2.4LPS Vol RimDisRad,2.4mm LPS Volar Rim,Trauma - Implant,TR,Trauma,003,Armar (Ti),0001,3.5 Plate,0001,Plate,001,3.5 Lps T Plates (Right Angled)
4T-PT11004044,1.5mm LPS T Plate Mini 4 Hole L44,TI-PT069,TI,,KG,0.000,0.000,FG Material-Trauma,2.4LPS Vol RimDisRad,2.4mm LPS Volar Rim,Trauma - Implant,TR,Trauma,003,Armar (Ti),0001,3.5 Plate,0001,Plate,001,3.5 Lps T Plates (Right Angled)
ACLMRL100-UK,FEMORAL UNI IMPLANT SIZE 1 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACLMRL200-UK,FEMORAL UNI IMPLANT SIZE 2 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACLMRL300-UK,FEMORAL UNI IMPLANT SIZE 3 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACLMRL400-UK,FEMORAL UNI IMPLANT SIZE 4 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACLMRL500-UK,FEMORAL UNI IMPLANT SIZE 5 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACLMRL600-UK,FEMORAL UNI IMPLANT SIZE 6 RLLM,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACRMLL100-UK,FEMORAL UNI IMPLANT SIZE 1 RMLL,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACRMLL200-UK,FEMORAL UNI IMPLANT SIZE 2 RMLL,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
ACRMLL300-UK,FEMORAL UNI IMPLANT SIZE 3 RMLL,KI-FMR-UN,KI,,KG,0.000,0.000,FG Material-Knee,Femoral UNI,Femoral UNI,Knee Implant,KN,Knee,005,Uniknee,0001,Primary,0001,Femoral,001,Femoral Uni
