Scan Code,Material,Material Description,Material Type,Material Group,Base Unit of Measure,Division,EAN/UPC,Weight unit,Gross Weight,Net Weight,Serial no. profile,Profit Center,Control code,Material type descr.,Material Group Desc.,Material grp desc. 2,Division Desc.,PH Level 01 - Desc.,PH Level 02,PH Level 02 - Desc.,PH Level 03,PH Level 03 - Desc.,PH Level 04,PH Level 04 - Desc.,PH Level 05,PH Level 05 - Desc.
,A1209,MODULAR TIBIAL TRIAL BEARING A1-2 PS 9MM,ZFIN,077150,EA,IN,,KG,0.110,0.100,F001,3122,90189099,Finished Product,Inst. General MH,Inst. General MH Ins,Instruments,Knee,003,Instruments,0001,Primary,0001,Instruments & Spares,004,Set PS
,A1211,MODULAR TIBIAL TRIALBEARING A1-2 PS 11MM,ZFIN,077150,EA,IN,,KG,0.110,0.100,F001,3122,90189099,Finished Product,Inst. General MH,Inst. General MH Ins,Instruments,Knee,003,Instruments,0001,Primary,0001,Instruments & Spares,004,Set PS
,AAXB05A-F,Universal 5-1 Cutting Block Spiked SZ B,ZFIN,FG-NSL-SP,EA,00,,KG,0.000,0.000,F001,3122,90189099,Finished Product,FG-Nasal Splint,FG-Nasal Splint,Common Division,Knee,003,Instruments,0001,Primary,0001,Instruments & Spares,004,Set PS
,AAXC05A-F,Universal 5-1 Cutting Block Spiked SZ C,ZFIN,FG-NSL-SP,EA,00,,KG,0.000,0.000,F001,3122,90189099,Finished Product,FG-Nasal Splint,FG-Nasal Splint,Common Division,Knee,003,Instruments,0001,Primary,0001,Instruments & Spares,004,Set PS
,AAXD05A-F,Universal 5-1 Cutting Block Spiked SZ D,ZFIN,FG-NSL-SP,EA,00,,KG,0.000,0.000,F001,3122,90189099,Finished Product,FG-Nasal Splint,FG-Nasal Splint,Common Division,Knee,003,Instruments,0001,Primary,0001,Instruments & Spares,004,Set PS
,AAXE05A-F,Universal 5-1 Cutting Block Spiked SZ E,ZFIN,FG-NSL-SP,EA,00,,KG,0.000,0.000,F001,3122,90189099,Finished Product,FG-Nasal Splint,FG-Nasal Splint,Common Division,Knee,003,Instruments,0001,Primary,0001,Instruments & Spares,004,Set PS
,AAXF05A-F,Universal 5-1 Cutting Block Spiked SZ F,ZFIN,FG-NSL-SP,EA,00,,KG,0.000,0.000,F001,3122,90189099,Finished Product,FG-Nasal Splint,FG-Nasal Splint,Common Division,Knee,003,Instruments,0001,Primary,0001,Instruments & Spares,004,Set PS
,AAXG05A-F,Universal 5-1 Cutting Block Spiked SZ G,ZFIN,FG-NSL-SP,EA,00,,KG,0.000,0.000,F001,3122,90189099,Finished Product,FG-Nasal Splint,FG-Nasal Splint,Common Division,Knee,003,Instruments,0001,Primary,0001,Instruments & Spares,004,Set PS
,AAXH05A-F,Universal 5-1 Cutting Block Spiked SZ H,ZFIN,FG-NSL-SP,EA,00,,KG,0.000,0.000,F001,3122,90189099,Finished Product,FG-Nasal Splint,FG-Nasal Splint,Common Division,Knee,003,Instruments,0001,Primary,0001,Instruments & Spares,004,Set PS
,ABXX00A-F,2MM/3Â° RECUTTER,ZFIN,FG-NSL-SP,EA,00,,KG,0.000,0.000,F001,3122,90189099,Finished Product,FG-Nasal Splint,FG-Nasal Splint,Common Division,Knee,003,Instruments,0001,Primary,0001,Instruments & Spares,004,Set PS
,ABXX00Z-RK,TIBIAL AUGMENT CUTTING JIG,ZFIN,077150,EA,IN,,KG,0.100,0.010,F001,3122,90189099,Finished Product,Inst. General MH,Inst. General MH Ins,Instruments,Knee,003,Instruments,0002,Revision,0001,Instruments & Spares,002,Ins & Spare Set STBP
,ACOM-0062,HP Deskjet Advantage 2520HC AIO Printer,ZCAP,043010,EA,00,,KG,0.000,0.000,,3122,,Capital Goods,Capex Material,Capex Material,Common Division,,,,,,,,,
,ACOM-0082,Desktop Computer,ZCAP,043010,EA,00,,KG,0.000,0.000,,3122,84713010,Capital Goods,Capex Material,Capex Material,Common Division,,,,,,,,,
,ACOM-0086,HP-3835 INKJET ALL ONE PRINTER,ZCAP,043010,EA,00,,KG,0.000,0.000,,3122,,Capital Goods,Capex Material,Capex Material,Common Division,,,,,,,,,
,ACOM-0087,Epson L380 Printer,ZCAP,043010,EA,00,,KG,0.000,0.000,,3122,,Capital Goods,Capex Material,Capex Material,Common Division,,,,,,,,,
,ACX105Z-RK,FEMORAL AP AUGMENT - B-E 5MM TYPE 1,ZFIN,077150,EA,IN,,KG,0.100,0.010,F001,3122,90189099,Finished Product,Inst. General MH,Inst. General MH Ins,Instruments,Knee,003,Instruments,0002,Revision,0001,Instruments & Spares,001,Ins & Spare Set PCK
,ACX110Z-RK,FEMORAL AP AUGMENT - B-E 10MM TYPE 1,ZFIN,077150,EA,IN,,KG,0.100,0.010,F001,3122,90189099,Finished Product,Inst. General MH,Inst. General MH Ins,Instruments,Knee,003,Instruments,0002,Revision,0001,Instruments & Spares,001,Ins & Spare Set PCK
